Aufgabe ID;Feedback Lehrer;Korrektur
875;s. o.;"Unverändert – am Versende (Versnummer dahinter) entsteht beim Anhalten Qalqala; „Ende“ bleibt richtig"
894;Alle Antworten richtig;Antwort Fatha+Kasra → Fatha+Damma+Kasra
964;;Vers getauscht (54:15 → 37:56): gleiche Länge, kein Idgham aus späteren Lektionen
965;;"Vers getauscht (61:14 → 26:22): gleiche Länge, kein Idgham aus späteren Lektionen; Antwort 2 → 1"
972;;Vers getauscht (43:39 → 19:33): gleiche Länge, kein Idgham aus späteren Lektionen
974;;Vers getauscht (4:116 → 23:49): gleiche Länge, kein Idgham aus späteren Lektionen
975;;Vers getauscht (60:1 → 15:13): gleiche Länge, kein Idgham aus späteren Lektionen
982;;Vers getauscht (2:108 → 23:105): gleiche Länge, kein Idgham aus späteren Lektionen
983;;Vers getauscht (33:36 → 10:96): gleiche Länge, kein Idgham aus späteren Lektionen
984;;Antwort طَّائِفَةٌ → طَّائِفَةٌ+تَّعْبُدُ
1173;;Vers getauscht (50:10 → 78:30): gleiche Länge, kein Idgham aus späteren Lektionen
1175;;Vers getauscht (90:8 → 7:15): gleiche Länge, kein Idgham aus späteren Lektionen
1185;Noch eine Antwortmöglichkeit;Auf Wunsch unverändert gelassen
1220;Wenn hier 2 Idgham, dann bei 1236 drei — zählen Schamsi-Buchstaben?;"Antwort 2 → 1; das Lam des Artikels (ٱلنَّعِيمِ) zählt nicht als Idgham — 1236 bleibt daher bei 2"
1292;;Vers getauscht (20:3 → 74:9): gleiche Länge, kein Idgham aus späteren Lektionen
1308;;Vers getauscht (84:14 → 81:28): gleiche Länge, kein Idgham aus späteren Lektionen
1321;Alle Antworten richtig;Auf Wunsch unverändert gelassen
1377;;"Statt Ja/Nein stehen jetzt vier Buchstaben zur Wahl (ع غ ح خ); keiner löst ein Ikhfa aus, richtig ist „kommt nicht vor“"
1378;Fehlermeldung bei der Frage;"Aufgabe neu aufgebaut: vier Einzelwörter — مُنذِرٌ und أَنزَلَ mit Ikhfa, مِنْهُمْ und وَٱنْحَرْ mit Izhar; Frage: „Markiere alle Wörter mit Ikhfa“"
1388;Antwort falsch;Antwort 4 → 5
1420;;Antwort 2 → 3
1422;;Antwort 0 → 1
1445;;Antwort 1 → 2
1476;;Frage von Ikhfa auf Idgham umgestellt
1477;;Frage von Ikhfa auf Idgham umgestellt
1478;;Frage von Ikhfa auf Idgham umgestellt
1479;;Frage von Ikhfa auf Idgham umgestellt
1484;Kein Ikhfa — Frage falsch?;Frage von Ikhfa auf Idgham umgestellt
1485;s. o.;Frage von Ikhfa auf Idgham umgestellt
1486;;Frage von Ikhfa auf Idgham umgestellt
1487;;"Frage von Ikhfa auf Idgham umgestellt; Antwort 0 → 1"
1492;Kein Ikhfa — Frage falsch?;Frage von Ikhfa auf Idgham umgestellt
1493;1× Ikhfa — Frage falsch?;Frage von Ikhfa auf Idgham umgestellt
1494;;"Frage von Ikhfa auf Idgham umgestellt; Antwort 0 → 1"
1495;;"Frage von Ikhfa auf Idgham umgestellt; Antwort 0 → 1"
1501;;Markierte Stellen 2 → 4
1502;;Frage von Ikhfa auf Idgham umgestellt
1503;1× Ikhfa — Frage falsch?;Frage von Ikhfa auf Idgham umgestellt
1509;Noch ein Idgham: nach Nun sakin folgt Lam;Markierte Stellen 2 → 4
1519;1× Idgham: nach Sakin-Lam folgt Lam;Markierte Stellen 0 → 1
1524;;Markierte Stellen 1 → 2
1532;Kein Ikhfa — Frage falsch?;Frage von Ikhfa auf Idgham umgestellt
1533;Antwort falsch, 4× (ohne Halt 5×) — Frage falsch?;"Frage von Ikhfa auf Idgham umgestellt; Auswahl 0/1/2/3 → 1/2/3/4; Antwort 2 → 4"
1534;Frage falsch? Nach Idgham gefragt: 1×;"Frage von Ikhfa auf Idgham umgestellt; Antwort 0 → 1"
1535;s. o.;"Frage von Ikhfa auf Idgham umgestellt; Antwort 0 → 1"
1540;Frage falsch? Nach Idgham gefragt: 4×;"Frage von Ikhfa auf Idgham umgestellt; Auswahl 0/1/2/3 → 1/2/3/4; Antwort 3 → 4"
1541;Kein Ikhfa — Frage falsch?;Frage von Ikhfa auf Idgham umgestellt
1542;;Frage von Ikhfa auf Idgham umgestellt
1543;1× Ikhfa — Frage falsch?;Frage von Ikhfa auf Idgham umgestellt
1548;Kein Ikhfa — Frage falsch? Nach Idgham: 3×;"Frage von Ikhfa auf Idgham umgestellt; Antwort 2 → 3"
1549;Kein Ikhfa — Frage falsch?;Frage von Ikhfa auf Idgham umgestellt
1550;;Frage von Ikhfa auf Idgham umgestellt
1551;;Frage von Ikhfa auf Idgham umgestellt
1556;1× Ikhfa — Frage falsch?;Frage von Ikhfa auf Idgham umgestellt
1557;Kein Ikhfa — Frage falsch?;Frage von Ikhfa auf Idgham umgestellt
1558;;Frage von Ikhfa auf Idgham umgestellt
1559;;Frage von Ikhfa auf Idgham umgestellt
1564;Idgham kommt 8× vor;Markierte Stellen 3 → 9
1565;Idgham kommt 3× vor;Markierte Stellen 2 → 3
1570;Alle Antworten richtig;Antwort ergänzt: alle vier Wörter bilden mit سِحْرٌ ein Idgham
1574;;Frage von Ikhfa auf Idgham umgestellt
1575;1× Ikhfa — Frage falsch?;Frage von Ikhfa auf Idgham umgestellt
1577;;Antwort مَّالَهُ → مَّالَهُ+يَكُونَ
1580;„Fehum“ muss auch markiert werden;Markierte Stellen 2 → 3
1587;;Antwort Keine → رَحِيمٌ
1588;Idgham kommt 3× vor;Markierte Stellen 2 → 3
1589;s. o.;Markierte Stellen 2 → 3
1590;1× Ikhfa — Frage falsch?;"Auf Wunsch unverändert – gefragt ist Idgham, das kommt hier nicht vor; das Ikhfa in ٱلْمَنصُورُونَ ist nicht gefragt"
1591;s. o.;Auf Wunsch unverändert – hier kommt weder Idgham noch Ikhfa vor (نَحْنُ ist Izhar)
1596;;Frage von Ikhfa auf Idgham umgestellt
1597;;Frage von Ikhfa auf Idgham umgestellt
1598;;Frage von Ikhfa auf Idgham umgestellt
1599;;Frage von Ikhfa auf Idgham umgestellt
1606;1× Ikhfa — Frage falsch?;Antwort 0 → 1
1607;s. o.;Antwort 0 → 1
1608;Kein Ikhfa — Frage falsch?;Frage von Ikhfa auf Idgham umgestellt
1611;s. o.;"Text zu يَمْشُونَ بِهَآ ergänzt; neue Antwortmöglichkeit „kommt nicht vor“ ist die richtige"
1614;2× Ikhfa — Frage falsch?;Markierte Stellen 0 → 2
1619;Frage könnte anders formuliert werden;"Vorgabewort entfällt; يُمْسِكُ steht jetzt als vierte Antwort, „Keine“ als fünfte und richtige"
1623;1× Ikhfa — Frage falsch?;Antwort 0 → 1
1624;Frage könnte anders formuliert werden;"Vorgabewort ist jetzt بَشِيرٌ, erste Antwort أَلَمْ يَأْتِكُم — erst zusammen entsteht das Ikhfa; richtig ist Antwort 1"
1625;;"Frage neu: „Welche der folgenden Wörter bilden mit diesem ein Ikhfa?“; Antwort war bereits richtig"
1643;Kein Ikhfa — Frage falsch?;Antwort auf „kommt nicht vor“ gesetzt (Izhar, kein Ikhfa)
1646;1× Ikhfa — Frage falsch?;Markierte Stellen 0 → 1
1652;2× Ikhfa — Frage falsch?;Antwort 1 → 2
1654;s. o.;Antwort 0 → 2
1662;1× Ikhfa — Frage falsch?;Markierte Stellen 0 → 1
1667;;Frage von Ikhfa auf Iqlab umgestellt
1670;;Frage von Ikhfa auf Iqlab umgestellt
1676;Frage falsch;Frage von Ikhfa auf Iqlab umgestellt
1678;;Frage von Ikhfa auf Iqlab umgestellt
1685;Frage falsch;Frage von Ikhfa auf Iqlab umgestellt
1699;s. o.;Frage von Ikhfa auf Iqlab umgestellt
1700;s. o.;Frage von Ikhfa auf Iqlab umgestellt
1709;;Frage von Ikhfa auf Iqlab umgestellt
1716;Frage falsch;Frage von Ikhfa auf Iqlab umgestellt
1717;s. o.;Frage von Ikhfa auf Iqlab umgestellt
1732;s. o.;Frage von Ikhfa auf Iqlab umgestellt
1733;s. o.;Frage von Ikhfa auf Iqlab umgestellt
1734;s. o.;Frage von Ikhfa auf Iqlab umgestellt
1735;s. o.;Frage von Ikhfa auf Iqlab umgestellt
1748;s. o.;Frage von Ikhfa auf Iqlab umgestellt
1749;s. o.;Frage von Ikhfa auf Iqlab umgestellt
1750;s. o.;Frage von Ikhfa auf Iqlab umgestellt
1751;s. o.;Frage von Ikhfa auf Iqlab umgestellt
1764;s. o.;Frage von Ikhfa auf Iqlab umgestellt
1765;s. o.;Frage von Ikhfa auf Iqlab umgestellt
1766;s. o.;Frage von Ikhfa auf Iqlab umgestellt
1767;s. o.;Frage von Ikhfa auf Iqlab umgestellt
1780;s. o.;Frage von Ikhfa auf Iqlab umgestellt
1781;s. o.;Frage von Ikhfa auf Iqlab umgestellt
1782;s. o.;Frage von Ikhfa auf Iqlab umgestellt
1783;s. o.;Frage von Ikhfa auf Iqlab umgestellt
1804;Frage anders formulieren, hier kommt Madd vor;"Frage neu: „Enthält dieses Wort eine Dehnung, die länger als zwei Einheiten ist?“; Antwort unverändert"
1805;s. o.;"Frage neu: „Enthält dieses Wort eine Dehnung, die länger als zwei Einheiten ist?“; Antwort unverändert"
1806;s. o.;"Frage neu: „Enthält dieses Wort eine Dehnung, die länger als zwei Einheiten ist?“; Antwort unverändert"
1807;s. o.;"Frage neu: „Enthält dieses Wort eine Dehnung, die länger als zwei Einheiten ist?“; Antwort unverändert"
1820;s. o.;"Frage neu: „Enthält dieses Wort eine Dehnung, die länger als zwei Einheiten ist?“; Antwort unverändert"
1821;s. o.;"Frage neu: „Enthält dieses Wort eine Dehnung, die länger als zwei Einheiten ist?“; Antwort unverändert"
1822;s. o.;"Frage neu: „Enthält dieses Wort eine Dehnung, die länger als zwei Einheiten ist?“; Antwort unverändert"
1823;s. o.;"Frage neu: „Enthält dieses Wort eine Dehnung, die länger als zwei Einheiten ist?“; Antwort unverändert"
1824;Frage anders formulieren, hier kommt mehrfach Madd vor;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1825;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1826;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1827;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1828;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1829;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1830;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1831;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1832;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1833;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1834;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1835;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1836;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1837;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1838;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1839;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1868;Frage anders formulieren, hier kommt Madd vor;"Frage neu: „Enthält dieses Wort eine Dehnung, die länger als zwei Einheiten ist?“; Antwort unverändert"
1869;s. o.;"Frage neu: „Enthält dieses Wort eine Dehnung, die länger als zwei Einheiten ist?“; Antwort unverändert"
1870;s. o.;"Frage neu: „Enthält dieses Wort eine Dehnung, die länger als zwei Einheiten ist?“; Antwort unverändert"
1871;s. o.;"Frage neu: „Enthält dieses Wort eine Dehnung, die länger als zwei Einheiten ist?“; Antwort unverändert"
1884;s. o.;"Frage neu: „Enthält dieses Wort eine Dehnung, die länger als zwei Einheiten ist?“; Antwort unverändert"
1885;s. o.;"Frage neu: „Enthält dieses Wort eine Dehnung, die länger als zwei Einheiten ist?“; Antwort unverändert"
1886;s. o.;"Frage neu: „Enthält dieses Wort eine Dehnung, die länger als zwei Einheiten ist?“; Antwort unverändert"
1887;s. o.;"Frage neu: „Enthält dieses Wort eine Dehnung, die länger als zwei Einheiten ist?“; Antwort unverändert"
1888;Frage anders formulieren, hier kommt mehrfach Madd vor;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1889;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1890;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1891;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1892;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1893;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1894;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1895;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1896;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1897;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1898;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1899;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1900;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1901;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1932;Frage anders formulieren, hier kommt Madd vor;"Frage neu: „Enthält dieses Wort eine Dehnung, die länger als zwei Einheiten ist?“; Antwort unverändert"
1933;s. o.;"Frage neu: „Enthält dieses Wort eine Dehnung, die länger als zwei Einheiten ist?“; Antwort unverändert"
1934;s. o.;"Frage neu: „Enthält dieses Wort eine Dehnung, die länger als zwei Einheiten ist?“; Antwort unverändert"
1935;s. o.;"Frage neu: „Enthält dieses Wort eine Dehnung, die länger als zwei Einheiten ist?“; Antwort unverändert"
1948;s. o.;"Frage neu: „Enthält dieses Wort eine Dehnung, die länger als zwei Einheiten ist?“; Antwort unverändert"
1949;s. o.;"Frage neu: „Enthält dieses Wort eine Dehnung, die länger als zwei Einheiten ist?“; Antwort unverändert"
1950;s. o.;"Frage neu: „Enthält dieses Wort eine Dehnung, die länger als zwei Einheiten ist?“; Antwort unverändert"
1951;s. o.;"Frage neu: „Enthält dieses Wort eine Dehnung, die länger als zwei Einheiten ist?“; Antwort unverändert"
1952;Frage anders formulieren, hier kommt mehrfach Madd vor;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1953;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1954;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1955;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1956;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1957;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1958;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1959;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1960;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1961;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1962;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1963;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1964;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1965;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1966;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
1967;s. o.;"Frage neu: „Wie oft kommt eine Dehnung vor, die länger als zwei Einheiten ist?“; Antwort unverändert"
